latency,peak_memory_MB,name,R,H,Do,Di,B,sweep_type,sweep_value
0.01688629388809204,0.056766510009765625,mps_sigma,2,25,2,1,32,H,25
0.04987135648727417,0.3107767105102539,mps_bmnc,2,25,2,1,32,H,25
0.08417908430099487,0.9233179092407227,mps_bm,2,25,2,1,32,H,25
0.0338910984992981,0.0996551513671875,mps_sigma,2,50,2,1,32,H,50
0.06615970611572265,0.3292694091796875,mps_bmnc,2,50,2,1,32,H,50
0.2701487350463867,1.091644287109375,mps_bm,2,50,2,1,32,H,50
0.06429871559143066,0.1312255859375,mps_sigma,2,75,2,1,32,H,75
0.1002303957939148,0.47513389587402344,mps_bmnc,2,75,2,1,32,H,75
0.42149068117141725,1.609170913696289,mps_bm,2,75,2,1,32,H,75
0.08520045518875122,0.18200016021728516,mps_sigma,2,100,2,1,32,H,100
0.15001312255859375,0.545039176940918,mps_bmnc,2,100,2,1,32,H,100
0.7876082348823548,1.570277214050293,mps_bm,2,100,2,1,32,H,100